CODE REGION,REGION,DEPARTEMENTS,COMMUNES,ARRONDISSEMENTS,C0MMUNES d’ARRDT,COMM. RURALES
SN-DB,DIOURBEL,MBACKE,Mbacké,Kael,Madina,
SN-DB,DIOURBEL,MBACKE,Mbacké,Kael,KAEL Touba Mboul,
SN-DB,DIOURBEL,MBACKE,Mbacké,Kael,Dendèye Gouy Gui,
SN-DB,DIOURBEL,MBACKE,Mbacké,Kael,Ndioumane Taïba Thièkène,
SN-DB,DIOURBEL,MBACKE,Mbacké,TAIF,Taïf,
SN-DB,DIOURBEL,MBACKE,Mbacké,TAIF,Sadio,
SN-FK,FATICK,FATICK Dioffior,Fatick,DIAKHAO,,Diakhao
SN-FK,FATICK,FATICK Dioffior,Fatick,DIAKHAO,,Diaoulé
SN-FK,FATICK,FATICK Dioffior,Fatick,DIAKHAO,,Mbéllacadiao
SN-FK,FATICK,FATICK Dioffior,Fatick,DIAKHAO,,Ndiop
SN-FK,FATICK,FATICK Dioffior,Fatick,FIMELA,,Djilasse
SN-FK,FATICK,FATICK Dioffior,Fatick,FIMELA,,Fimela
SN-FK,FATICK,FATICK Dioffior,Fatick,FIMELA,,Loul Sessène
SN-FK,FATICK,FATICK Dioffior,Fatick,FIMELA,,Palmarin Facao
SN-FK,FATICK,FATICK Dioffior,Fatick,NIAKHAR,,Niakhar
SN-FK,FATICK,FATICK Dioffior,Fatick,NIAKHAR,,Ngayokhème
SN-FK,FATICK,FATICK Dioffior,Fatick,NIAKHAR,,Patar
SN-FK,FATICK,FATICK Dioffior,Fatick,TATTAGUINE,,Diarrère
SN-FK,FATICK,FATICK Dioffior,Fatick,TATTAGUINE,,Diouroup
SN-FK,FATICK,FATICK Dioffior,Fatick,TATTAGUINE,,Tattaguine
SN-FK,FATICK,FATICK Dioffior,Fatick,TOUBACOUTA,,Keur Saloum Diané
SN-FK,FATICK,FATICK Dioffior,Fatick,TOUBACOUTA,,Keur Samba Guèye
SN-FK,FATICK,FATICK Dioffior,Fatick,TOUBACOUTA,,Tobacouta
SN-FK,FATICK,FATICK Dioffior,Fatick,TOUBACOUTA,,Nioro Alassane Talla
SN-FK,FATICK,FOUNDIOUGNE,Foundiougne Passy,,,
SN-FK,FATICK,FOUNDIOUGNE,Sokone Soum Karang Post,DJILOR,,Diossong
SN-FK,FATICK,FOUNDIOUGNE,Sokone Soum Karang Post,DJILOR,,Djilor
SN-FK,FATICK,FOUNDIOUGNE,Sokone Soum Karang Post,NIODIOR,,Bassoul
SN-FK,FATICK,FOUNDIOUGNE,Sokone Soum Karang Post,NIODIOR,,Dionewar
SN-FK,FATICK,FOUNDIOUGNE,Sokone Soum Karang Post,NIODIOR,,Djirnda
SN-FK,FATICK,FOUNDIOUGNE,Sokone Soum Karang Post,COLOBANE,,Colobane
SN-FK,FATICK,FOUNDIOUGNE,Sokone Soum Karang Post,COLOBANE,,Mbar
SN-FK,FATICK,GOSSAS,Gossas,OUADIOUR,,Ndiene Lagan
SN-FK,FATICK,GOSSAS,Gossas,OUADIOUR,,Ouadiour
SN-FK,FATICK,GOSSAS,Gossas,OUADIOUR,,Patar Lia
SN-KA,KAFFRINE,KEUR MBOUCKI,,BIRKELANE,,Keur Mboucki
SN-KA,KAFFRINE,KEUR MBOUCKI,,BIRKELANE,,Birkelane
SN-KA,KAFFRINE,KEUR MBOUCKI,,MABO,,Mabo
SN-KA,KAFFRINE,KEUR MBOUCKI,,MABO,,Ndiognick
SN-KA,KAFFRINE,KEUR MBOUCKI,,MABO,,Touba Mbella
SN-KA,KAFFRINE,KAFFRINE,Kaffrine Nganda,KATAKEL,,Diamagadio
SN-KA,KAFFRINE,KAFFRINE,Kaffrine Nganda,KATAKEL,,Diokoul Belbouck
SN-KA,KAFFRINE,KAFFRINE,Kaffrine Nganda,KATAKEL,,Kathiotte
SN-KA,KAFFRINE,KAFFRINE,Kaffrine Nganda,KATAKEL,,Médinatoul Salam 2
SN-KA,KAFFRINE,KAFFRINE,Kaffrine Nganda,GNIBY,,Gniby
SN-KA,KAFFRINE,KAFFRINE,Kaffrine Nganda,GNIBY,,Boulel
SN-KA,KAFFRINE,KAFFRINE,Kaffrine Nganda,GNIBY,,Kahi
