CODE REGION,REGION,DEPARTEMENTS,COMMUNES,ARRONDISSEMENTS,C0MMUNES d’ARRDT,COMM. RURALES
SN-SE,SEDHIOU,GOUDOMP ,Goudomp Samine Tanaff Diattacounda,DJIBANAR,,Simbandi Balante
SN-SE,SEDHIOU,GOUDOMP ,Goudomp Samine Tanaff Diattacounda,DJIBANAR,,Djibanar
SN-SE,SEDHIOU,GOUDOMP ,Goudomp Samine Tanaff Diattacounda,DJIBANAR,,Kaour
SN-SE,SEDHIOU,GOUDOMP ,Goudomp Samine Tanaff Diattacounda,SIMBANDI BRASSOU,,Diouboudou
SN-SE,SEDHIOU,GOUDOMP ,Goudomp Samine Tanaff Diattacounda,SIMBANDI BRASSOU,,Simbandi Brassou
SN-SE,SEDHIOU,GOUDOMP ,Goudomp Samine Tanaff Diattacounda,SIMBANDI BRASSOU,,Niagha
SN-SE,SEDHIOU,GOUDOMP ,Goudomp Samine Tanaff Diattacounda,KARANTABA,,Karantaba
SN-SE,SEDHIOU,GOUDOMP ,Goudomp Samine Tanaff Diattacounda,KARANTABA,,Kolibantang
SN-SE,SEDHIOU,GOUDOMP ,Goudomp Samine Tanaff Diattacounda,DJIREDJI,,Djiredji
SN-SE,SEDHIOU,GOUDOMP ,Goudomp Samine Tanaff Diattacounda,DJIREDJI,,Bambaly
SN-SE,SEDHIOU,SEDHIOU,Sédhiou Diannah Malary Marsassoum,,,DIENDE Oudoucar
SN-SE,SEDHIOU,SEDHIOU,Sédhiou Diannah Malary Marsassoum,,,Koussy
SN-SE,SEDHIOU,SEDHIOU,Sédhiou Diannah Malary Marsassoum,,,Sakar
SN-SE,SEDHIOU,SEDHIOU,Sédhiou Diannah Malary Marsassoum,,,Diendé
SN-SE,SEDHIOU,SEDHIOU,Sédhiou Diannah Malary Marsassoum,DJIBABOUYA,,San Samba
SN-SE,SEDHIOU,SEDHIOU,Sédhiou Diannah Malary Marsassoum,DJIBABOUYA,,Bémet Bidjini
SN-SE,SEDHIOU,SEDHIOU,Sédhiou Diannah Malary Marsassoum,DJIBABOUYA,,Djibabouya
SN-TC,TAMBACOUNDA,BAKEL ,Bakel Kidira Diawara,BELE,,Bélé
SN-TC,TAMBACOUNDA,BAKEL ,Bakel Kidira Diawara,BELE,,Sinthiou Fissa
SN-TC,TAMBACOUNDA,BAKEL ,Bakel Kidira Diawara,KENIEBA,,Toumboura Sadatou
SN-TC,TAMBACOUNDA,BAKEL ,Bakel Kidira Diawara,KENIEBA,,Madina Foulbé
SN-TC,TAMBACOUNDA,BAKEL ,Bakel Kidira Diawara,MOUDERY,,Moudery
SN-TC,TAMBACOUNDA,BAKEL ,Bakel Kidira Diawara,MOUDERY,,Ballou
SN-TC,TAMBACOUNDA,BAKEL ,Bakel Kidira Diawara,MOUDERY,,Gabou
SN-TC,TAMBACOUNDA,BAKEL ,Bakel Kidira Diawara,BOYNGUEL BAMBA,,Boynguel Bamba
SN-TC,TAMBACOUNDA,BAKEL ,Bakel Kidira Diawara,BOYNGUEL BAMBA,,Sinthiou Mamadou Boubou
SN-TC,TAMBACOUNDA,BAKEL ,Bakel Kidira Diawara,BOYNGUEL BAMBA,,Koussan
SN-TC,TAMBACOUNDA,BAKEL ,Bakel Kidira Diawara,BOYNGUEL BAMBA,,Dougué
SN-TC,TAMBACOUNDA,GOUDIRY,Goudiry Kothiary,DIANKE MAKHA,,Dianké Makha
SN-TC,TAMBACOUNDA,GOUDIRY,Goudiry Kothiary,DIANKE MAKHA,,Boutoucoufara
SN-TC,TAMBACOUNDA,GOUDIRY,Goudiry Kothiary,DIANKE MAKHA,,Bani Israel
SN-TC,TAMBACOUNDA,GOUDIRY,Goudiry Kothiary,DIANKE MAKHA,,Komoti
SN-TC,TAMBACOUNDA,GOUDIRY,Goudiry Kothiary,KOULOR,,Sinthiou Bocar Aly
SN-TC,TAMBACOUNDA,GOUDIRY,Goudiry Kothiary,KOULOR,,Koulor
SN-TC,TAMBACOUNDA,GOUDIRY,Goudiry Kothiary,BALA,,Bala
SN-TC,TAMBACOUNDA,GOUDIRY,Goudiry Kothiary,BALA,,Koar
SN-TC,TAMBACOUNDA,GOUDIRY,Goudiry Kothiary,BALA,,Goumbayel
SN-TC,TAMBACOUNDA,KOUPENTOUM,Koumpentoum,BAMBA THIALENE,,Ndame
SN-TC,TAMBACOUNDA,KOUPENTOUM,Koumpentoum,BAMBA THIALENE,,Kahène
SN-TC,TAMBACOUNDA,KOUPENTOUM,Koumpentoum,BAMBA THIALENE,,Bamba Thialène
SN-TC,TAMBACOUNDA,KOUPENTOUM,Koumpentoum,KOUTHIABA WOLOF,,Payar
SN-TC,TAMBACOUNDA,KOUPENTOUM,Koumpentoum,KOUTHIABA WOLOF,,Kouthiaba Wolof
SN-TC,TAMBACOUNDA,KOUPENTOUM,Koumpentoum,KOUTHIABA WOLOF,,Malème Niani
SN-TC,TAMBACOUNDA,KOUPENTOUM,Koumpentoum,MAKACOLIBANTANG,,Niani Toucouleur
SN-TC,TAMBACOUNDA,KOUPENTOUM,Koumpentoum,MAKACOLIBANTANG,,Makacolibantang
SN-TC,TAMBACOUNDA,KOUPENTOUM,Koumpentoum,MAKACOLIBANTANG,,Ndoga Babacar
SN-TC,TAMBACOUNDA,TAMBA,Tambacounda,MISSIRAH,,Dialacoto Missirah
SN-TC,TAMBACOUNDA,TAMBA,Tambacounda,MISSIRAH,,Néttéboulou
SN-TC,TAMBACOUNDA,TAMBA,Tambacounda,KOUSSANAR ,,Sinthiou Malème
SN-TC,TAMBACOUNDA,TAMBA,Tambacounda,KOUSSANAR ,,Koussanar
SN-TH,THIES,MBOUR,Joal – Fadhiouth Diass Nguekhokh Thiadiaye Saly Portudal Ngaparou Somone Popenguine,FISSEL,,Fissel
SN-TH,THIES,MBOUR,Joal – Fadhiouth Diass Nguekhokh Thiadiaye Saly Portudal Ngaparou Somone Popenguine,FISSEL,,Ndiaganiao
SN-TH,THIES,MBOUR,Joal – Fadhiouth Diass Nguekhokh Thiadiaye Saly Portudal Ngaparou Somone Popenguine,SESSENE,,Sessene
SN-TH,THIES,MBOUR,Joal – Fadhiouth Diass Nguekhokh Thiadiaye Saly Portudal Ngaparou Somone Popenguine,SESSENE,,Sandiara
SN-TH,THIES,MBOUR,Joal – Fadhiouth Diass Nguekhokh Thiadiaye Saly Portudal Ngaparou Somone Popenguine,SESSENE,,Nguéniène
SN-TH,THIES,MBOUR,Joal – Fadhiouth Diass Nguekhokh Thiadiaye Saly Portudal Ngaparou Somone Popenguine,SINDIA,,Sindia Mbour Malicounda
SN-TH,THIES,MBOUR,Joal – Fadhiouth Diass Nguekhokh Thiadiaye Saly Portudal Ngaparou Somone Popenguine,THIENABA,,Thiénaba
SN-TH,THIES,MBOUR,Joal – Fadhiouth Diass Nguekhokh Thiadiaye Saly Portudal Ngaparou Somone Popenguine,THIENABA,,Ngoudiane
SN-TH,THIES,MBOUR,Joal – Fadhiouth Diass Nguekhokh Thiadiaye Saly Portudal Ngaparou Somone Popenguine,THIENABA,,Ndiéyène Sirakh
SN-TH,THIES,MBOUR,Joal – Fadhiouth Diass Nguekhokh Thiadiaye Saly Portudal Ngaparou Somone Popenguine,THIENABA,,Touba Toul
SN-TH,THIES,THIES,Thies Kayar Khombole Pout,KEUR MOUSSA,,Keur Moussa Diender
SN-TH,THIES,THIES,Thies Kayar Khombole Pout,KEUR MOUSSA,,Fandène
SN-TH,THIES,THIES,Thies Kayar Khombole Pout,NOTTO,,Notto
SN-TH,THIES,THIES,Thies Kayar Khombole Pout,NOTTO,,Tassète
SN-TH,THIES,THIES,Thies Kayar Khombole Pout,MEOUANE,,Méouane
SN-TH,THIES,THIES,Thies Kayar Khombole Pout,MEOUANE,,Darou Khoudoss
SN-TH,THIES,THIES,Thies Kayar Khombole Pout,MEOUANE,,Taïba Ndiaye
SN-TH,THIES,TIVAOUANE,Tivaouane Mboro Mékhé,MERINA DAKHAR,,Mérina Dakhar
SN-TH,THIES,TIVAOUANE,Tivaouane Mboro Mékhé,MERINA DAKHAR,,Koul
SN-TH,THIES,TIVAOUANE,Tivaouane Mboro Mékhé,MERINA DAKHAR,,Pékèsse
SN-TH,THIES,TIVAOUANE,Tivaouane Mboro Mékhé,NIAKHENE,,Niakhène
SN-TH,THIES,TIVAOUANE,Tivaouane Mboro Mékhé,NIAKHENE,,Mbayène
SN-TH,THIES,TIVAOUANE,Tivaouane Mboro Mékhé,NIAKHENE,,Thilmakha
SN-TH,THIES,TIVAOUANE,Tivaouane Mboro Mékhé,NIAKHENE,,Ngandiouf
SN-TH,THIES,TIVAOUANE,Tivaouane Mboro Mékhé,PAMBAL,,Notto Gouye Diama
SN-TH,THIES,TIVAOUANE,Tivaouane Mboro Mékhé,PAMBAL,,Mont Rolland
SN-TH,THIES,TIVAOUANE,Tivaouane Mboro Mékhé,PAMBAL,,Pire Goureye
SN-TH,THIES,TIVAOUANE,Tivaouane Mboro Mékhé,PAMBAL,,Chérif Lo
SN-ZG,ZIGUINCHOR,ZIGUINCHOR,Ziguinchor,NIAGUIS,,Niaguis
SN-ZG,ZIGUINCHOR,ZIGUINCHOR,Ziguinchor,NIAGUIS,,Adéane
SN-ZG,ZIGUINCHOR,ZIGUINCHOR,Ziguinchor,NIAGUIS,,Boutoupa Camaracounda
SN-ZG,ZIGUINCHOR,ZIGUINCHOR,Ziguinchor,NIASSIA,,Niassia
SN-ZG,ZIGUINCHOR,ZIGUINCHOR,Ziguinchor,NIASSIA,,Enampore
SN-ZG,ZIGUINCHOR,OUSSOUYE,Oussouye,CABROUSSE,,Diembéring
SN-ZG,ZIGUINCHOR,OUSSOUYE,Oussouye,CABROUSSE,,Santhiaba Manjack
SN-ZG,ZIGUINCHOR,OUSSOUYE,Oussouye,LOUDIA OUOLOF,,Oukout
SN-ZG,ZIGUINCHOR,OUSSOUYE,Oussouye,LOUDIA OUOLOF,,Mlomp
SN-ZG,ZIGUINCHOR,OUSSOUYE,Oussouye,KATABA 1,,Kataba 1
SN-ZG,ZIGUINCHOR,OUSSOUYE,Oussouye,KATABA 2,,Djinaky
SN-ZG,ZIGUINCHOR,OUSSOUYE,Oussouye,KATABA 3,,Kafontine
SN-ZG,ZIGUINCHOR,BIGNONA,Bignona Thionck-Essyl Diouloulou,TENGHORI,,Niamone Tenghori
SN-ZG,ZIGUINCHOR,BIGNONA,Bignona Thionck-Essyl Diouloulou,TENGHORI,,Ouonck
SN-ZG,ZIGUINCHOR,BIGNONA,Bignona Thionck-Essyl Diouloulou,TENGHORI,,Coubalan
SN-ZG,ZIGUINCHOR,BIGNONA,Bignona Thionck-Essyl Diouloulou,TENDOUCK,,Balinghore
SN-ZG,ZIGUINCHOR,BIGNONA,Bignona Thionck-Essyl Diouloulou,TENDOUCK,,Diégoune
SN-ZG,ZIGUINCHOR,BIGNONA,Bignona Thionck-Essyl Diouloulou,TENDOUCK,,Kartiack
SN-ZG,ZIGUINCHOR,BIGNONA,Bignona Thionck-Essyl Diouloulou,TENDOUCK,,Mangagoulack
SN-ZG,ZIGUINCHOR,BIGNONA,Bignona Thionck-Essyl Diouloulou,TENDOUCK,,Mlom
SN-ZG,ZIGUINCHOR,BIGNONA,Bignona Thionck-Essyl Diouloulou,SINDIAN,,Djibidione
SN-ZG,ZIGUINCHOR,BIGNONA,Bignona Thionck-Essyl Diouloulou,SINDIAN,,Oulampane
SN-ZG,ZIGUINCHOR,BIGNONA,Bignona Thionck-Essyl Diouloulou,SINDIAN,,Sindian
SN-ZG,ZIGUINCHOR,BIGNONA,Bignona Thionck-Essyl Diouloulou,SINDIAN,,Suelle
